,FileName,FloatWMO,Pres_Adj,Temp_Adj,Sal_Adj,Oxy_Adj,Flux_Calc
0,coriolis/1901217,1901217,1.0,1.0,1.0,0.0,0.0
1,coriolis/3901667,3901667,1.0,1.0,1.0,1.0,1.0
2,coriolis/3901668,3901668,1.0,1.0,1.0,1.0,1.0
3,coriolis/3901669,3901669,1.0,1.0,1.0,1.0,1.0
16,meds/4900494,4900494,1.0,1.0,1.0,1.0,1.0
4,coriolis/4900611,4900611,1.0,1.0,1.0,0.0,0.0
17,meds/4901781,4901781,1.0,1.0,1.0,0.0,1.0
5,coriolis/4901801,4901801,0.0,0.0,0.0,,0.0
18,meds/4902383,4902383,1.0,1.0,1.0,0.0,1.0
19,meds/4902384,4902384,1.0,1.0,1.0,0.0,1.0
20,meds/4902386,4902386,1.0,1.0,1.0,0.0,1.0
21,meds/4902409,4902409,1.0,1.0,1.0,0.0,1.0
22,meds/4902481,4902481,0.0,0.0,0.0,0.0,1.0
6,coriolis/6901521,6901521,0.0,0.0,0.0,0.0,0.0
7,coriolis/6901522,6901522,1.0,1.0,1.0,0.0,0.0
8,coriolis/6901524,6901524,,,,,
9,coriolis/6901526,6901526,,,,,
10,coriolis/6901527,6901527,,,,,
11,coriolis/6902976,6902976,0.0,0.0,0.0,0.0,0.0
12,coriolis/6903030,6903030,0.0,0.0,0.0,0.0,0.0
13,coriolis/6903032,6903032,0.0,0.0,0.0,0.0,0.0
14,coriolis/6903034,6903034,0.0,0.0,0.0,0.0,0.0
15,coriolis/7900566,7900566,1.0,1.0,1.0,1.0,1.0
