,BC_1,BC_2,BC_3,BC_4,BC_BC,BC_LSG,LSG_BC,LSG_LSG
0,1.0,1.8,1.0,1.0,80.78,12.98,16.96,53.06
1,1.0,1.8,1.0,1.1,81.18,13.05,16.96,53.06
2,1.0,1.8,1.0,1.2000000000000002,81.58,13.12,16.96,53.06
3,1.0,1.8,1.0,1.3000000000000003,81.91,13.19,16.96,53.06
4,1.0,1.8,1.0,1.4000000000000004,82.07,13.19,16.96,53.06
5,1.0,1.8,1.0,1.5000000000000004,82.63,13.19,16.96,53.06
6,1.0,1.8,1.0,1.6000000000000005,83.04,13.23,16.96,53.06
7,1.0,1.8,1.1,1.0,81.18,13.58,16.96,53.06
8,1.0,1.8,1.1,1.1,81.5,13.65,16.96,53.06
9,1.0,1.8,1.1,1.2000000000000002,81.83,13.72,16.96,53.06
10,1.0,1.8,1.1,1.3000000000000003,82.15,13.76,16.96,53.06
11,1.0,1.8,1.1,1.4000000000000004,82.31,13.76,16.96,53.06
12,1.0,1.8,1.1,1.5000000000000004,82.88,13.76,16.96,53.06
13,1.0,1.8,1.1,1.6000000000000005,83.2,13.76,16.96,53.06
14,1.0,1.8,1.2000000000000002,1.0,81.34,14.15,16.96,53.06
15,1.0,1.8,1.2000000000000002,1.1,81.66,14.22,16.96,53.06
16,1.0,1.8,1.2000000000000002,1.2000000000000002,81.91,14.29,16.96,53.06
17,1.0,1.8,1.2000000000000002,1.3000000000000003,82.23,14.33,16.96,53.06
18,1.0,1.8,1.2000000000000002,1.4000000000000004,82.39,14.33,16.96,53.06
19,1.0,1.8,1.2000000000000002,1.5000000000000004,82.96,14.33,16.96,53.06
20,1.0,1.8,1.2000000000000002,1.6000000000000005,83.28,14.33,16.96,53.06
21,1.0,1.8,1.3000000000000003,1.0,81.5,14.64,16.96,53.06
22,1.0,1.8,1.3000000000000003,1.1,81.83,14.72,16.96,53.06
23,1.0,1.8,1.3000000000000003,1.2000000000000002,81.99,14.75,16.96,53.06
24,1.0,1.8,1.3000000000000003,1.3000000000000003,82.31,14.79,16.96,53.06
25,1.0,1.8,1.3000000000000003,1.4000000000000004,82.47,14.79,16.96,53.06
26,1.0,1.8,1.3000000000000003,1.5000000000000004,83.04,14.79,16.96,53.06
27,1.0,1.8,1.3000000000000003,1.6000000000000005,83.36,14.79,16.96,53.06
28,1.0,1.8,1.4000000000000004,1.0,81.58,15.18,16.96,53.06
29,1.0,1.8,1.4000000000000004,1.1,81.91,15.25,16.96,53.06
30,1.0,1.8,1.4000000000000004,1.2000000000000002,82.07,15.28,16.96,53.06
31,1.0,1.8,1.4000000000000004,1.3000000000000003,82.39,15.32,16.96,53.06
32,1.0,1.8,1.4000000000000004,1.4000000000000004,82.55,15.32,16.96,53.06
33,1.0,1.8,1.4000000000000004,1.5000000000000004,83.12,15.32,16.96,53.06
34,1.0,1.8,1.4000000000000004,1.6000000000000005,83.44,15.32,16.96,53.06
35,1.0,1.8,1.5000000000000004,1.0,82.15,15.49,16.96,53.06
36,1.0,1.8,1.5000000000000004,1.1,82.39,15.56,16.96,53.06
37,1.0,1.8,1.5000000000000004,1.2000000000000002,82.55,15.6,16.96,53.06
38,1.0,1.8,1.5000000000000004,1.3000000000000003,82.88,15.63,16.96,53.06
39,1.0,1.8,1.5000000000000004,1.4000000000000004,83.04,15.63,16.96,53.06
40,1.0,1.8,1.5000000000000004,1.5000000000000004,83.52,15.63,16.96,53.06
41,1.0,1.8,1.5000000000000004,1.6000000000000005,83.84,15.63,16.96,53.06
42,1.0,1.8,1.6000000000000005,1.0,82.39,16.31,16.96,53.06
43,1.0,1.8,1.6000000000000005,1.1,82.63,16.38,16.96,53.06
44,1.0,1.8,1.6000000000000005,1.2000000000000002,82.79,16.41,16.96,53.06
45,1.0,1.8,1.6000000000000005,1.3000000000000003,83.12,16.45,16.96,53.06
46,1.0,1.8,1.6000000000000005,1.4000000000000004,83.28,16.45,16.96,53.06
47,1.0,1.8,1.6000000000000005,1.5000000000000004,83.76,16.45,16.96,53.06
48,1.0,1.8,1.6000000000000005,1.6000000000000005,84.09,16.45,16.96,53.06
49,1.0,1.9000000000000001,1.0,1.0,82.23,13.12,16.96,53.06
50,1.0,1.9000000000000001,1.0,1.1,82.63,13.19,16.96,53.06
51,1.0,1.9000000000000001,1.0,1.2000000000000002,83.04,13.26,16.96,53.06
52,1.0,1.9000000000000001,1.0,1.3000000000000003,83.36,13.34,16.96,53.06
53,1.0,1.9000000000000001,1.0,1.4000000000000004,83.52,13.34,16.96,53.06
54,1.0,1.9000000000000001,1.0,1.5000000000000004,84.09,13.34,16.96,53.06
55,1.0,1.9000000000000001,1.0,1.6000000000000005,84.49,13.37,16.96,53.06
56,1.0,1.9000000000000001,1.1,1.0,82.63,13.72,16.96,53.06
57,1.0,1.9000000000000001,1.1,1.1,82.96,13.8,16.96,53.06
58,1.0,1.9000000000000001,1.1,1.2000000000000002,83.28,13.87,16.96,53.06
59,1.0,1.9000000000000001,1.1,1.3000000000000003,83.6,13.9,16.96,53.06
60,1.0,1.9000000000000001,1.1,1.4000000000000004,83.76,13.9,16.96,53.06
61,1.0,1.9000000000000001,1.1,1.5000000000000004,84.33,13.9,16.96,53.06
62,1.0,1.9000000000000001,1.1,1.6000000000000005,84.65,13.9,16.96,53.06
63,1.0,1.9000000000000001,1.2000000000000002,1.0,82.79,14.29,16.96,53.06
64,1.0,1.9000000000000001,1.2000000000000002,1.1,83.12,14.36,16.96,53.06
65,1.0,1.9000000000000001,1.2000000000000002,1.2000000000000002,83.36,14.43,16.96,53.06
66,1.0,1.9000000000000001,1.2000000000000002,1.3000000000000003,83.68,14.47,16.96,53.06
67,1.0,1.9000000000000001,1.2000000000000002,1.4000000000000004,83.84,14.47,16.96,53.06
68,1.0,1.9000000000000001,1.2000000000000002,1.5000000000000004,84.41,14.47,16.96,53.06
69,1.0,1.9000000000000001,1.2000000000000002,1.6000000000000005,84.73,14.47,16.96,53.06
70,1.0,1.9000000000000001,1.3000000000000003,1.0,82.96,14.79,16.96,53.06
71,1.0,1.9000000000000001,1.3000000000000003,1.1,83.28,14.86,16.96,53.06
72,1.0,1.9000000000000001,1.3000000000000003,1.2000000000000002,83.44,14.89,16.96,53.06
73,1.0,1.9000000000000001,1.3000000000000003,1.3000000000000003,83.76,14.93,16.96,53.06
74,1.0,1.9000000000000001,1.3000000000000003,1.4000000000000004,83.93,14.93,16.96,53.06
75,1.0,1.9000000000000001,1.3000000000000003,1.5000000000000004,84.49,14.93,16.96,53.06
76,1.0,1.9000000000000001,1.3000000000000003,1.6000000000000005,84.81,14.93,16.96,53.06
77,1.0,1.9000000000000001,1.4000000000000004,1.0,83.04,15.32,16.96,53.06
78,1.0,1.9000000000000001,1.4000000000000004,1.1,83.36,15.39,16.96,53.06
79,1.0,1.9000000000000001,1.4000000000000004,1.2000000000000002,83.52,15.42,16.96,53.06
80,1.0,1.9000000000000001,1.4000000000000004,1.3000000000000003,83.84,15.46,16.96,53.06
81,1.0,1.9000000000000001,1.4000000000000004,1.4000000000000004,84.01,15.46,16.96,53.06
82,1.0,1.9000000000000001,1.4000000000000004,1.5000000000000004,84.57,15.46,16.96,53.06
83,1.0,1.9000000000000001,1.4000000000000004,1.6000000000000005,84.89,15.46,16.96,53.06
84,1.0,1.9000000000000001,1.5000000000000004,1.0,83.6,15.63,16.96,53.06
85,1.0,1.9000000000000001,1.5000000000000004,1.1,83.84,15.71,16.96,53.06
86,1.0,1.9000000000000001,1.5000000000000004,1.2000000000000002,84.01,15.74,16.96,53.06
87,1.0,1.9000000000000001,1.5000000000000004,1.3000000000000003,84.33,15.78,16.96,53.06
88,1.0,1.9000000000000001,1.5000000000000004,1.4000000000000004,84.49,15.78,16.96,53.06
89,1.0,1.9000000000000001,1.5000000000000004,1.5000000000000004,84.98,15.78,16.96,53.06
90,1.0,1.9000000000000001,1.5000000000000004,1.6000000000000005,85.3,15.78,16.96,53.06
91,1.0,1.9000000000000001,1.6000000000000005,1.0,83.84,16.45,16.96,53.06
92,1.0,1.9000000000000001,1.6000000000000005,1.1,84.09,16.52,16.96,53.06
93,1.0,1.9000000000000001,1.6000000000000005,1.2000000000000002,84.25,16.55,16.96,53.06
