,Distance,BC_BC,BC_LSG,LSG_BC,LSG_LSG
0,1.6,54.47,9.89,45.53,90.11
1,1.7000000000000002,57.22,11.66,42.78,88.34
2,1.8000000000000003,60.73,13.81,39.27,86.19
3,1.9000000000000004,63.15,16.48,36.85,83.52
4,2.0000000000000004,66.09,18.12,33.91,81.88
5,2.1000000000000005,68.58,20.15,31.42,79.85
6,2.2000000000000006,70.88,23.51,29.12,76.49
7,2.3000000000000007,73.24,25.6,26.76,74.4
8,2.400000000000001,75.54,29.85,24.46,70.15
9,2.500000000000001,77.78,33.71,22.22,66.29
10,2.600000000000001,79.37,37.52,20.63,62.48
11,2.700000000000001,81.16,41.44,18.84,58.56
12,2.800000000000001,82.89,44.93,17.11,55.07
13,2.9000000000000012,84.74,49.11,15.26,50.89
