,FileName,FloatWMO,Pres_Adj,Temp_Adj,Sal_Adj,Oxy_Adj,Flux_Calc
15,coriolis/1901205,1901205,1.0,1.0,1.0,0.0,0.0
16,coriolis/1901206,1901206,1.0,1.0,0.0,0.0,0.0
17,coriolis/1901208,1901208,1.0,1.0,1.0,0.0,0.0
18,coriolis/1901209,1901209,1.0,1.0,1.0,0.0,0.0
19,coriolis/1901210,1901210,1.0,1.0,1.0,0.0,0.0
20,coriolis/1901211,1901211,1.0,1.0,1.0,0.0,0.0
21,coriolis/1901212,1901212,1.0,1.0,1.0,0.0,0.0
22,coriolis/1901213,1901213,1.0,1.0,1.0,0.0,0.0
23,coriolis/1901214,1901214,1.0,1.0,1.0,0.0,0.0
24,coriolis/1901215,1901215,1.0,1.0,1.0,0.0,0.0
25,coriolis/1901217,1901217,1.0,1.0,1.0,0.0,0.0
26,coriolis/1901218,1901218,1.0,1.0,1.0,0.0,0.0
27,coriolis/3901667,3901667,1.0,1.0,1.0,1.0,13.16
28,coriolis/3901668,3901668,1.0,1.0,1.0,1.0,92.65
29,coriolis/3901669,3901669,1.0,1.0,1.0,1.0,89.66
30,coriolis/3901988,3901988,,,,,0.0
31,coriolis/3902127,3902127,0.0,0.0,0.0,1.0,0.0
0,aoml/4900345,4900345,1.0,1.0,1.0,1.0,9.95
1,aoml/4900480,4900480,1.0,1.0,1.0,0.0,0.0
2,aoml/4900481,4900481,1.0,1.0,1.0,1.0,0.0
202,meds/4900494,4900494,1.0,1.0,1.0,1.0,83.55
203,meds/4900497,4900497,1.0,1.0,1.0,1.0,0.0
32,coriolis/4900607,4900607,1.0,1.0,1.0,0.0,0.0
33,coriolis/4900608,4900608,1.0,1.0,1.0,0.0,0.0
34,coriolis/4900609,4900609,1.0,1.0,1.0,0.0,0.0
35,coriolis/4900610,4900610,1.0,1.0,1.0,0.0,0.0
36,coriolis/4900611,4900611,1.0,1.0,1.0,0.0,0.0
204,meds/4900627,4900627,1.0,1.0,1.0,1.0,0.0
205,meds/4900879,4900879,1.0,1.0,1.0,1.0,48.32
206,meds/4900880,4900880,1.0,1.0,1.0,1.0,95.56
