,WMO,Date,Lat,Lon,Fp_L13,Fc_L13,Fd_L13,Ft_L13,Fp_N16,Fc_N16,Fd_N16,Ft_N16
0,4900879.0,2006-06-10 12:00:00,61.80114993270022,-51.20679666784678,-3.345687133511839e-08,2.2633974596163227e-09,-2.727291822316149e-07,-3.0392265610711694e-07,-3.3496664947294797e-10,-2.8866517580594415e-09,2.1287810581054962e-07,2.0965648740301722e-07
1,4900879.0,2006-06-10 18:00:00,61.81140287229173,-51.27479050390652,-5.239869110220075e-09,1.580059659061415e-10,-1.3538878262541038e-07,-1.404706457697243e-07,-3.2795418145787847e-15,-2.8289502251854588e-14,5.302808816685494e-08,5.3028056597810875e-08
2,4900879.0,2006-06-11 00:00:00,61.82165581188324,-51.34278433996626,-8.594971489842688e-08,9.360843583765401e-09,-3.8903013333799933e-07,-4.6561900465266085e-07,-2.1965648905706485e-09,-1.8965930899871792e-08,4.387008569095787e-07,4.175383611191363e-07
3,4900879.0,2006-06-11 06:00:00,61.83190875147475,-51.410778176026,-1.169082968897394e-07,1.4324465864232442e-08,-4.4372625067857463e-07,-5.463100817040815e-07,-3.5672199948591825e-09,-3.0830225340194294e-08,5.587209525438249e-07,5.243235072087714e-07
4,4900879.0,2006-06-11 12:00:00,61.84216169106626,-51.47877201208574,-5.7892774582761925e-08,4.884462681089053e-09,-3.3954309537301646e-07,-3.9255140727468937e-07,-9.789859972815302e-10,-8.469127152260578e-09,3.2355709733085824e-07,3.1410898418131616e-07
5,4900879.0,2006-06-11 18:00:00,61.85241463065777,-51.54676584814548,-8.671704530237318e-09,3.0315966970513063e-10,-1.6717949678185674e-07,-1.7554804164238893e-07,-2.761825136364341e-12,-2.3915111503563212e-11,7.754173648310182e-08,7.75150595464619e-08
6,4900879.0,2006-06-12 00:00:00,61.86266757024928,-51.61475968420522,-1.377485909175522e-07,1.8319166871429865e-08,-4.729853804308532e-07,-5.924148044769755e-07,-4.657154993932849e-09,-4.036543864012168e-08,6.348751723682503e-07,5.898525787341958e-07
7,4900879.0,2006-06-12 06:00:00,61.87292050984079,-51.68275352026496,-2.3361302378598947e-07,4.195629569573954e-08,-5.84093170677566e-07,-7.757498987678159e-07,-1.1070720786301622e-08,-9.604534696781751e-08,9.718233805031874e-07,8.647073127490683e-07
8,4900879.0,2006-06-12 12:00:00,61.8831734494323,-51.7507473563247,-2.667989543504415e-07,5.2411140445637404e-08,-6.15234877871674e-07,-8.296226917764782e-07,-1.3817136155899073e-08,-1.1998545841879648e-07,1.0844446999419152e-06,9.506421053672197e-07
9,4900879.0,2006-06-12 18:00:00,61.89342638902381,-51.818741192384444,-5.327456759390307e-07,1.5197353833532626e-07,-8.37825883260588e-07,-1.2185980208642924e-06,-3.1473831661323876e-08,-2.7357035970380795e-07,1.7466336534451244e-06,1.4415894620799927e-06
10,4900879.0,2006-06-13 00:00:00,61.90367932861532,-51.88673502844418,-5.360803194543637e-07,1.352469884453563e-07,-8.545935724455437e-07,-1.255426903454551e-06,-2.8814247078158243e-08,-2.5068840549011805e-07,1.753912265414381e-06,1.4744096128461048e-06
11,4900879.0,2006-06-13 06:00:00,61.91393226820683,-51.95472886450392,-7.925514927918741e-07,2.0857160207784432e-07,-1.0461919463930176e-06,-1.6301718371070475e-06,-3.890612866746007e-08,-3.3880611791388417e-07,2.2753626573266098e-06,1.8976504107452655e-06
12,4900879.0,2006-06-13 12:00:00,61.92418520779834,-52.02272270056366,-1.1645916179136546e-06,3.5104054140239783e-07,-1.261452223887927e-06,-2.075003300399184e-06,-5.549296918609228e-08,-4.837000673061574e-07,2.936777252802545e-06,2.3975842163102953e-06
13,4900879.0,2006-06-13 18:00:00,61.93443814738985,-52.0907165366234,-9.875336339716528e-08,7.495625164512217e-09,-4.658539773009787e-07,-5.571117155336318e-07,-1.6304895203566726e-09,-1.4225248645222058e-08,4.963025688651537e-07,4.80446830699575e-07
14,4900879.0,2006-06-14 00:00:00,61.94469108698136,-52.15871037268314,-3.585693007513265e-07,5.585321426274283e-08,-7.558079235855509e-07,-1.0585240100741346e-06,-1.440143648095943e-08,-1.2576217751929278e-07,1.3548952351686382e-06,1.214731621168386e-06
15,4900879.0,2006-06-14 06:00:00,61.95494402657287,-52.22670420874288,-3.1508943334142723e-07,4.4822672514350274e-08,-7.206094270092707e-07,-9.908761878363477e-07,-1.1539700125947979e-08,-1.0086485135665692e-07,1.2203061499367273e-06,1.1079015984541226e-06
16,4900879.0,2006-06-14 12:00:00,61.96519696616438,-52.29469804480262,-6.937342852776619e-07,1.4660782841152839e-07,-1.006896690350203e-06,-1.5540231472163365e-06,-2.9946220911673585e-08,-2.6199147746894543e-07,2.089914909456517e-06,1.7979772110758982e-06
17,4900879.0,2006-06-14 18:00:00,61.97544990575589,-52.36269188086236,-2.9792948295557746e-07,4.148959774589223e-08,-7.019547660916937e-07,-9.58394651301379e-07,-1.0645552827536051e-08,-9.322059875680731e-08,1.165309473482853e-06,1.0614433218985097e-06
18,4900879.0,2006-06-15 00:00:00,61.9857028453474,-52.4306857169221,-2.112962187452184e-07,2.660111687437808e-08,-5.98819412633808e-07,-7.835145145046484e-07,-6.746645951350407e-09,-5.913285363634893e-08,8.860259703310142e-07,8.201464707433148e-07
19,4900879.0,2006-06-15 06:00:00,61.99595578493891,-52.49867955298184,-1.57289777114759e-07,1.920816992946155e-08,-5.146405548890592e-07,-6.527221620743566e-07,-4.782271375447763e-09,-4.1953780971063316e-08,6.999185559402822e-07,6.531825035937712e-07
20,4900879.0,2006-06-15 12:00:00,62.00620872453042,-52.56667338904158,-4.0642193888890675e-08,2.9180908888918516e-09,-2.9201984987126934e-07,-3.297439528712681e-07,-4.730380455848249e-10,-4.153628568763452e-09,2.4376263029462756e-07,2.391359636802793e-07
21,4900879.0,2006-06-15 18:00:00,62.01646166412193,-52.63466722510132,-1.4633862777210269e-08,7.044387687456014e-10,-1.936492919921456e-07,-2.0757871600061027e-07,-3.764811786467884e-11,-3.3087829527605246e-10,1.1186354305154746e-07,1.1149501663840672e-07
22,4900879.0,2006-06-16 00:00:00,62.02671460371344,-52.70266106116106,-1.614234476609841e-08,8.515052854054866e-10,-1.9724540617347858e-07,-2.125362456541715e-07,-5.72468445105551e-11,-5.035802815429499e-10,1.1968532656626913e-07,1.1912449944021562e-07
23,4900879.0,2006-06-16 06:00:00,62.03696754330495,-52.7706548972208,-6.116776064119665e-08,5.9932023567002815e-09,-3.2857453395208813e-07,-3.837490922365845e-07,-1.2398293882787004e-09,-1.0916162058832566e-08,3.305588894656848e-07,3.1840289801857355e-07
24,4900879.0,2006-06-16 12:00:00,62.047220482896456,-52.838648733280536,-7.270278590650678e-08,7.742139729421406e-09,-3.515130601146461e-07,-4.164737062917315e-07,-1.6966600694833539e-09,-1.4951766481351746e-08,3.7791484171372887e-07,3.612664151628938e-07
25,4900879.0,2006-06-16 18:00:00,62.057473422487966,-52.90664256934028,-2.879389053840196e-07,6.004951704622944e-08,-6.25405758823192e-07,-8.532951471609822e-07,-1.5394766054294506e-08,-1.3578728807558907e-07,1.1431993838614273e-06,9.920173297315437e-07
26,4900879.0,2006-06-17 00:00:00,62.067726362079476,-52.97463640540002,-7.183923961585816e-07,2.2787459899980002e-07,-9.59224931003402e-07,-1.4497427281621838e-06,-4.068323961014504e-08,-3.5916056202106536e-07,2.112791368150117e-06,1.7129475665189065e-06
27,4900879.0,2006-06-17 06:00:00,62.077979301670986,-53.04263024145976,-1.2030240756844278e-06,4.33146856865082e-07,-1.2478973915567936e-06,-2.0177746103761394e-06,-6.273934767186744e-08,-5.543690116919009e-07,2.9875406701392655e-06,2.370432310775497e-06
28,4900879.0,2006-06-17 12:00:00,62.088232241262496,-53.110624077519496,-3.3052693367625737e-07,5.4504241904879134e-08,-7.058883364069016e-07,-9.819110281782797e-07,-1.3792731777366279e-08,-1.2198145618900929e-07,1.2585806676811589e-06,1.1228064797147831e-06
29,4900879.0,2006-06-17 18:00:00,62.098485180854006,-53.17861791357924,-2.621768720655697e-07,5.052428106275379e-08,-6.020319579797866e-07,-8.136845489826025e-07,-1.2882043485201279e-08,-1.1402802551660177e-07,1.0525973299133036e-06,9.256872609115005e-07
30,4900879.0,2006-06-18 00:00:00,62.108738120445516,-53.24661174963898,-2.0729441548094568e-07,4.8349234296143305e-08,-5.119845364267693e-07,-6.709297176115717e-07,-1.2407398241116013e-08,-1.0992326838747128e-07,8.850696704587975e-07,7.627390038302102e-07
