,WMO,Date,Lat,Lon,Fp_L13,Fc_L13,Fd_L13,Ft_L13,Fp_N16,Fc_N16,Fd_N16,Ft_N16,Oxy_Sat,Oxy_Dev
0,6902805.0,2017-07-20 00:00:00,56.52991094296155,-35.02091860899269,,,,,,,,,,
1,6902805.0,2017-07-20 06:00:00,56.53135260168414,-35.02730669288211,,,,,,,,,,
2,6902805.0,2017-07-20 12:00:00,56.53279426040673,-35.033694776771526,,,,,,,,,,
3,6902805.0,2017-07-20 18:00:00,56.53423591912933,-35.040082860660945,,,,,,,,,,
4,6902805.0,2017-07-21 00:00:00,56.53567757785192,-35.046470944550364,,,,,,,,,,
5,6902805.0,2017-07-21 06:00:00,56.53711923657451,-35.052859028439784,,,,,,,,,,
6,6902805.0,2017-07-21 12:00:00,56.53445063935508,-35.05385813561973,-1.8667417482632677e-07,4.151934925961253e-08,-4.719935882709172e-07,-6.171484138376315e-07,-1.009733305453692e-08,-9.367594739397958e-08,7.874309277204649e-07,6.836576472719483e-07,103.37,9.424782937336829
7,6902805.0,2017-07-21 18:00:00,56.53152742451092,-35.054523412384036,-9.782246524341681e-08,1.4545641222241556e-08,-3.6100257459928665e-07,-4.4427939862046195e-07,-3.3242518664814626e-09,-3.0842207878200076e-08,4.5896523985901574e-07,4.2479878011433416e-07,103.36,9.389335012335323
8,6902805.0,2017-07-22 00:00:00,56.52860420966676,-35.05518868914834,-1.3936679461932336e-07,2.910580374706326e-08,-4.07547387065468e-07,-5.178083779377281e-07,-7.029601363088081e-09,-6.522473876272909e-08,6.201456292115143e-07,5.478912890856971e-07,103.35,9.353863595312191
9,6902805.0,2017-07-22 06:00:00,56.5256809948226,-35.05585396591265,-8.323501883399067e-08,1.6014152956047483e-08,-3.133899761556131e-07,-3.8061084203355627e-07,-3.7236925057415987e-09,-3.455298402156128e-08,4.084904393955805e-07,3.702137628682776e-07,103.33,9.318368698601262
10,6902805.0,2017-07-22 12:00:00,56.52275777997844,-35.056519242676956,-1.7058538207651314e-08,1.636554234733413e-09,-1.579771305443825e-07,-1.7339911451730038e-07,-1.8395766977598e-10,-1.7071030253405488e-09,1.1404299774968644e-07,1.1215193705456992e-07,103.32,9.282850334530167
11,6902805.0,2017-07-22 18:00:00,56.519834565134275,-35.057184519441265,-1.0787850025797443e-08,8.838279100448281e-10,-1.293867178953784e-07,-1.3929074001113103e-07,-5.881251375884277e-11,-5.458101961172044e-10,7.962514327725848e-08,7.902052056738243e-08,103.31,9.24730851541949
12,6902805.0,2017-07-23 00:00:00,56.516911350290115,-35.05784979620557,-6.681298211090016e-08,1.5244350599937928e-08,-2.704521534453123e-07,-3.2202078495627453e-07,-3.541572902481031e-09,-3.2869881888418243e-08,3.480592174468412e-07,3.1164776265594194e-07,103.3,9.211743253580664
13,6902805.0,2017-07-23 06:00:00,56.513988135445956,-35.05851507296988,-1.4740250794535976e-07,4.358463017049389e-08,-4.0054620742174086e-07,-5.043640851966068e-07,-1.0669634482406694e-08,-9.903336604732691e-08,6.767231997894886e-07,5.67020199259755e-07,103.29,9.176154561320061
14,6902805.0,2017-07-23 12:00:00,56.5110649206018,-35.05918034973419,-1.3431431181971286e-07,2.927949974041353e-08,-3.9647026900628475e-07,-5.015050810855841e-07,-7.073772183998953e-09,-6.566184702605903e-08,6.042448545937258e-07,5.315092353836678e-07,103.27,9.140542450935925
15,6902805.0,2017-07-23 18:00:00,56.50814170575764,-35.05984562649849,-5.6780863253737756e-08,8.239296934308149e-09,-2.706008684706932e-07,-3.191424347901228e-07,-1.7324600259623356e-09,-1.6082563019707405e-08,2.969428557226084e-07,2.791278326769387e-07,103.26,9.104906934718827
16,6902805.0,2017-07-24 00:00:00,56.50521849091348,-35.0605109032628,-6.130170929639964e-08,1.0325761018958539e-08,-2.727294795854165e-07,-3.237054278628576e-07,-2.265154254800323e-09,-2.1029058085124834e-08,3.1730399143701097e-07,2.940097790970858e-07,103.25,9.069248024952913
17,6902805.0,2017-07-24 06:00:00,56.50229527606932,-35.06117618002711,-1.1170333015583722e-07,2.435886553982122e-08,-3.589461449240391e-07,-4.4629060954005507e-07,-5.841378938505756e-09,-5.4233471364588684e-08,5.216018237946567e-07,4.615269734915623e-07,103.24,9.033565733914998
18,6902805.0,2017-07-24 12:00:00,56.49937206122516,-35.06184145679142,-7.82655181309045e-08,1.589697229838724e-08,-2.9997424065839276e-07,-3.6234278649091e-07,-3.6929782301006732e-09,-3.4289309642487176e-08,3.9028371524188424e-07,3.5230142736929635e-07,103.22,8.997860073873994
19,6902805.0,2017-07-24 18:00:00,56.49644884638099,-35.06250673355573,-3.339247912219125e-08,4.840748254269522e-09,-2.0318401082296955e-07,-2.3173574169089128e-07,-8.966488502331076e-10,-8.325960506430484e-09,1.9427011825071713e-07,1.8504750889405354e-07,103.21,8.96213105709262
20,6902805.0,2017-07-25 00:00:00,56.49352563153683,-35.06317201032004,-4.9454159054889854e-08,8.80447491597397e-09,-2.4009177206666175e-07,-2.8074145620557765e-07,-1.882930613907191e-09,-1.748542568402361e-08,2.6804024095682814e-07,2.486718846588973e-07,103.2,8.926378695825406
21,6902805.0,2017-07-25 06:00:00,56.490602416692674,-35.06383728708435,-5.725736778311304e-08,9.222184085310866e-09,-2.6529573895651923e-07,-3.133309226543214e-07,-1.982267051076519e-09,-1.8409160490653405e-08,2.9975814795929836e-07,2.7936672041756846e-07,103.19,8.89060300232046
22,6902805.0,2017-07-25 12:00:00,56.487679201848515,-35.06450256384865,-2.0111858012277636e-08,1.638439946910266e-09,-1.8138551542070885e-07,-1.9985893348607622e-07,-1.8289307241428192e-10,-1.6986307888678594e-09,1.309909300417574e-07,1.2910940618047526e-07,103.18,8.854803988818333
23,6902805.0,2017-07-25 18:00:00,56.484755987004355,-35.06516784061296,-2.0627237893657558e-08,1.6136696856687627e-09,-1.8626793759177924e-07,-2.0528150579976803e-07,-1.7803276969451172e-10,-1.6536042683375127e-09,1.3398792374420628e-07,1.3215628670617424e-07,103.16,8.818981667551839
24,6902805.0,2017-07-26 00:00:00,56.481832772160196,-35.06583311737727,-9.783125891444804e-08,1.7396283562760633e-08,-3.466693202297746e-07,-4.27104295581462e-07,-4.052736602165415e-09,-3.764522535237521e-08,4.617103844545178e-07,4.200124224999772e-07,103.15,8.783136050748567
25,6902805.0,2017-07-26 06:00:00,56.47890955731604,-35.066498394141576,-4.1293159977701134e-07,1.9068648235037395e-07,-6.799670995444615e-07,-9.022122169710989e-07,-3.416356957209342e-08,-3.1736178939468115e-07,1.4691417775314057e-06,1.1176164185646313e-06,103.14,8.747267150626215
26,6902805.0,2017-07-26 12:00:00,56.47598634247187,-35.067163670905884,-6.342326748847694e-07,4.2034403833538106e-07,-8.691646624630363e-07,-1.0830532990124247e-06,-5.88591531674513e-08,-5.468085064629634e-07,2.0817313438446373e-06,1.4760636842142226e-06,103.13,8.711374979397533
27,6902805.0,2017-07-26 18:00:00,56.47306312762771,-35.06782894767019,-6.459315651709625e-07,4.664390694076275e-07,-8.851508100394085e-07,-1.0646433058027435e-06,-6.315812935776757e-08,-5.867868261586151e-07,2.1483569998165643e-06,1.4984120443001817e-06,103.12,8.675459549266918
28,6902805.0,2017-07-27 00:00:00,56.47013991278355,-35.0684942244345,-3.5509400269492965e-07,1.545235306528032e-07,-6.272841448033264e-07,-8.278546168454529e-07,-2.9443726627029408e-08,-2.735732962891471e-07,1.3177947369302487e-06,1.0147777140140722e-06,103.1,8.639520872431717
29,6902805.0,2017-07-27 06:00:00,56.46721669793939,-35.069159501198804,-1.9034708529439982e-07,5.328344585839625e-08,-4.614043167758306e-07,-5.984679562118341e-07,-1.295327979604643e-08,-1.203623029709046e-07,8.212819258245715e-07,6.879663430576205e-07,103.09,8.603558961083252
30,6902805.0,2017-07-27 12:00:00,56.46429348309523,-35.06982477796311,-8.115279013473923e-08,1.4102571266953405e-08,-3.147729922442426e-07,-3.8182321111202843e-07,-3.2147556097147222e-09,-2.98736650139959e-08,3.970570716282223e-07,3.639686510045117e-07,103.08,8.567573827403862
31,6902805.0,2017-07-27 18:00:00,56.46137026825107,-35.07049005472742,-5.449991365061207e-08,7.848696852669328e-09,-2.64767363354648e-07,-3.1141858015259076e-07,-1.6295758505730984e-09,-1.5144150313948227e-08,2.869392635498388e-07,2.7016553738531746e-07,103.07,8.531565483569693
32,6902805.0,2017-07-28 00:00:00,56.458447053406914,-35.07115533149173,-2.0312072414655946e-08,1.847022845454095e-09,-1.760682753784966e-07,-1.9453332494769844e-07,-2.22654564509147e-10,-2.0693393101034706e-09,1.311689250493274e-07,1.288769311747148e-07,103.05,8.495533941750296
33,6902805.0,2017-07-28 06:00:00,56.455523838562755,-35.07182060825604,-6.994753442885446e-09,3.830332588493699e-10,-1.1697490590665467e-07,-1.2358662609069073e-07,-6.4016093779078285e-12,-5.950028347774858e-11,5.7975080187328014e-08,5.790917829447236e-08,103.04,8.459479214107432
34,6902805.0,2017-07-28 12:00:00,56.45260062371859,-35.07248588502035,-8.222190661663718e-09,5.466808577146017e-10,-1.1933503403769248e-07,-1.270105438416416e-07,-1.8940587190821043e-11,-1.760568992793169e-10,6.485519005144414e-08,6.4660192564974e-08,103.03,8.423401312795477
35,6902805.0,2017-07-28 18:00:00,56.44967740887443,-35.07315116178466,-1.8468578579626554e-08,2.0445740867480485e-09,-1.5790007774455521e-07,-1.7432408223743374e-07,-2.627804315633583e-10,-2.442768791821351e-09,1.2077406011999802e-07,1.1806851089661331e-07,103.02,8.38730024996238
36,6902805.0,2017-07-29 00:00:00,56.44675419403027,-35.07381643854896,-3.221491895852733e-08,5.542067486630805e-09,-1.916065973689932e-07,-2.1827944884088974e-07,-1.0668825273422667e-09,-9.918263939096882e-09,1.897573931211613e-07,1.7877224665472216e-07,103.0,8.35117603774819
37,6902805.0,2017-07-29 06:00:00,56.44383097918611,-35.07448171531327,-4.4431319635521027e-08,9.708422058052567e-09,-2.181130666097754e-07,-2.528359641872439e-07,-2.114207363341446e-09,-1.965605428942366e-08,2.497754360867366e-07,2.280051744339715e-07,102.99,8.315028688286418
38,6902805.0,2017-07-29 12:00:00,56.44090776434195,-35.07514699207758,-2.817896925227349e-08,5.446059650624075e-09,-1.7426144046415003e-07,-1.9699435006579945e-07,-1.0458108401943483e-09,-9.723700871519204e-09,1.7180237566655784e-07,1.610328639548443e-07,102.98,8.278858213704154
39,6902805.0,2017-07-29 18:00:00,56.43798454949779,-35.07581226884189,-3.3696894567416446e-08,8.015095578608118e-09,-1.8553779970115438e-07,-2.112195986899627e-07,-1.688916067226866e-09,-1.5704213596451694e-08,2.0218153107501818e-07,1.8478840141133963e-07,102.97,8.242664626119279
40,6902805.0,2017-07-30 00:00:00,56.43506133465363,-35.076477545606195,-2.0409693961409275e-08,3.74150622910061e-09,-1.4787076009218828e-07,-1.6453894782449693e-07,-6.382636744241564e-10,-5.935234949729846e-09,1.322752755436828e-07,1.2570177691952878e-07,102.95,8.206447937645066
41,6902805.0,2017-07-30 06:00:00,56.432138119809466,-35.077142822370504,-4.957527347074834e-08,1.6847123396986387e-08,-2.2019037591492674e-07,-2.529185259886887e-07,-3.959636010294692e-09,-3.682329944558603e-08,2.908658597892037e-07,2.50082924333323e-07,102.94,8.17020816038547
42,6902805.0,2017-07-30 12:00:00,56.429214904965306,-35.07780809913481,-3.449429526147317e-08,9.148966604797549e-09,-1.8522625308828832e-07,-2.1057158174496395e-07,-1.978083306901702e-09,-1.8396772820469447e-08,2.0888496478337322e-07,1.885101086560021e-07,102.93,8.133945306439102
43,6902805.0,2017-07-30 18:00:00,56.42629169012115,-35.078473375899115,-3.285768954780333e-08,8.835494819397225e-09,-1.8014410269735884e-07,-2.0416629742576494e-07,-1.898674869081794e-09,-1.7659454676723896e-08,2.0132838195170554e-07,1.8177025240589986e-07,102.92,8.097659387896329
44,6902805.0,2017-07-31 00:00:00,56.42336847527699,-35.079138652663424,-1.8492113872136384e-08,3.4888617142331202e-09,-1.3939826774530824e-07,-1.544015199032115e-07,-5.799060971248807e-10,-5.394037559862293e-09,1.224614340510524e-07,1.1648749039406522e-07,102.91,8.061350416841151
45,6902805.0,2017-07-31 06:00:00,56.42044526043283,-35.07980392942773,-1.5343753255597693e-08,2.1706483927510553e-09,-1.3397841292610252e-07,-1.4715151778894913e-07,-2.8941406237284873e-10,-2.692188789255941e-09,1.0408481870926841e-07,1.0110321585763961e-07,102.89,8.025018405350124
46,6902805.0,2017-07-31 12:00:00,56.419223921738784,-35.088070761547996,-2.2590761425740938e-08,3.343709516342972e-09,-1.6334478260815678e-07,-1.8259183451755474e-07,-5.439154444936874e-10,-5.060141768822659e-09,1.4192973983095577e-07,1.3632568261763942e-07,102.91,8.061194199779209
47,6902805.0,2017-07-31 18:00:00,56.41805371237105,-35.09656596657559,-6.745128791090653e-08,1.334900724866031e-08,-2.7747030952932615e-07,-3.3157259019157235e-07,-3.0266216795944893e-09,-2.8160170236728877e-08,3.451006007464444e-07,3.13913808830121e-07,102.92,8.099479003464126
