,WMO,Date,Lat,Lon,Fp_L13,Fc_L13,Fd_L13,Ft_L13,Fp_N16,Fc_N16,Fd_N16,Ft_N16
0,4902409.0,2017-10-04 18:00:00,58.62784305143733,-53.59900022838469,4.4578946630610393e-07,4.800773843708782e-08,6.190435353401235e-07,1.1128407400833154e-06,-1.2048278302857538e-08,-1.093394380626282e-07,-1.0702598112573739e-06,-1.1916475276228596e-06
1,4902409.0,2017-10-05 00:00:00,58.63058405301021,-53.58457922778051,2.2315589590335985e-07,1.7925932556685908e-08,5.140590154583058e-07,7.551408439183515e-07,-4.336938325530954e-09,-3.935180319866114e-08,-6.885550603887531e-07,-7.322438019129452e-07
2,4902409.0,2017-10-05 06:00:00,58.63332505458308,-53.570158227176336,1.2970238117565183e-07,9.026261314321759e-09,4.1767776430317676e-07,5.564064067931504e-07,-1.9885668568881076e-09,-1.8040603693485192e-08,-4.683452029190725e-07,-4.883743734694458e-07
3,4902409.0,2017-10-05 12:00:00,58.63606605615596,-53.555737226572155,2.6920817836447973e-07,2.632750039723093e-08,5.02576638148111e-07,7.981123169098216e-07,-6.495913264313998e-09,-5.8922409535492646e-08,-7.436390826444445e-07,-8.090574054442512e-07
4,4902409.0,2017-10-05 18:00:00,58.63880705772883,-53.541316225967975,1.0459955735021153e-07,8.785353892315291e-09,3.3163769287814057e-07,4.450226041206674e-07,-1.9023917051021983e-09,-1.725319652907181e-08,-3.692611112082784e-07,-3.8841669944245234e-07
5,4902409.0,2017-10-06 00:00:00,58.641548059301705,-53.5268952253638,1.1871904411605196e-08,5.137050695120119e-10,1.4897853509256753e-07,1.6136414457368473e-07,-1.6220763958648244e-11,-1.4708561761411047e-10,-7.949611424670487e-08,-7.965942062827764e-08
6,4902409.0,2017-10-06 06:00:00,58.644289060874584,-53.51247422475962,5.661073814305437e-07,8.506309039560472e-08,5.533613443489739e-07,1.2045318161751222e-06,-1.9445272547766387e-08,-1.7629587472014413e-07,-1.0691707899568172e-06,-1.2649119372247277e-06
7,4902409.0,2017-10-06 12:00:00,58.647030062447456,-53.49805322415544,2.9887530505511554e-07,3.5141456876522654e-08,4.699080931063687e-07,8.039248550380069e-07,-8.701632553290912e-09,-7.88783832546837e-08,-7.492725629726828e-07,-8.368525787806574e-07
8,4902409.0,2017-10-06 18:00:00,58.64977106402033,-53.48363222355127,9.869726028089519e-08,7.960929905531066e-09,3.298836302953995e-07,4.3654182048182575e-07,-1.693501168540022e-09,-1.5348708527765256e-08,-3.580312002910656e-07,-3.750734099873709e-07
9,4902409.0,2017-10-07 00:00:00,58.65251206559321,-53.46921122294709,4.287797598455666e-07,5.2378233136914e-08,5.566794299819205e-07,1.0378374229644013e-06,-1.3059693177762027e-08,-1.1834456656685269e-07,-9.84294763051495e-07,-1.1156990227961098e-06
10,4902409.0,2017-10-07 06:00:00,58.65525306716608,-53.454790222342915,4.144681130314767e-07,4.847946834650995e-08,5.637731100406025e-07,1.0267206914185891e-06,-1.2113951127847693e-08,-1.0975646509723086e-07,-9.770478802786567e-07,-1.0989182965037352e-06
11,4902409.0,2017-10-07 12:00:00,58.65799406873895,-53.440369221738734,5.973338387537989e-07,8.099717334012321e-08,6.177395897614686e-07,1.2960706018553908e-06,-1.887552250756455e-08,-1.709905677673484e-07,-1.1853969502345426e-06,-1.3752630405094555e-06
12,4902409.0,2017-10-07 18:00:00,58.66073507031183,-53.425948221134554,2.4367384799042534e-07,2.9230864204618684e-08,4.1530707087222407e-07,6.882117830672681e-07,-7.17324272040685e-09,-6.497069448356876e-08,-6.313180401208211e-07,-7.034619773247967e-07
13,4902409.0,2017-10-08 00:00:00,58.6634760718847,-53.41152722053038,1.443260030110669e-06,2.5941601229767826e-07,7.938994975658633e-07,2.4965755399742105e-06,-4.340367741186919e-08,-3.930585555559048e-07,-1.7821766365730544e-06,-2.2186388695408285e-06
14,4902409.0,2017-10-08 06:00:00,58.666217073457574,-53.3971062199262,1.3427143950119985e-06,2.1460297613739607e-07,8.436185832360719e-07,2.400935954385467e-06,-3.8252439894011e-08,-3.4635267435243806e-07,-1.8471219200721515e-06,-2.2317270343186006e-06
15,4902409.0,2017-10-08 12:00:00,58.66895807503045,-53.38268521932202,1.0647235859541014e-06,1.5033742238864722e-07,8.207392610161578e-07,2.0358002693589066e-06,-2.984640996799379e-08,-2.701967459028278e-07,-1.7137407033672033e-06,-2.013783859238025e-06
16,4902409.0,2017-10-08 18:00:00,58.671699076603325,-53.36826421871785,4.927247717896275e-07,5.372706738200295e-08,6.512402685992084e-07,1.1976921077708388e-06,-1.351888496433203e-08,-1.22365060712351e-07,-1.1589970618076566e-06,-1.2948810074843397e-06
17,4902409.0,2017-10-09 00:00:00,58.6744400781762,-53.35384321811367,4.547502252149338e-12,6.556239808387918e-15,1.0567945275454171e-08,1.057249933394613e-08,-0.0,-0.0,-3.0426632653833657e-10,-3.0426632653833657e-10
18,4902409.0,2017-10-09 06:00:00,58.677181079749076,-53.339422217509494,1.4652735116823528e-07,1.246991008198668e-08,3.9658299740965694e-07,5.555802586598789e-07,-2.874111444695041e-09,-2.6006208922184365e-08,-4.834256903863636e-07,-5.12306010753243e-07
19,4902409.0,2017-10-09 12:00:00,58.67992208132195,-53.325001216905314,4.617499552876063e-07,6.258416196266503e-08,5.387940693069558e-07,1.063128186557227e-06,-1.5523130990875806e-08,-1.404368590483693e-07,-9.975063579653985e-07,-1.1534663480046436e-06
20,4902409.0,2017-10-09 18:00:00,58.68266308289482,-53.31058021630113,2.4352114632292536e-07,2.740622855621871e-08,4.3524828472623245e-07,7.061756596053766e-07,-6.733034023891895e-09,-6.090330624180315e-08,-6.506071055986959e-07,-7.18243445864391e-07
21,4902409.0,2017-10-10 00:00:00,58.6854040844677,-53.29615921569696,2.2568379111131628e-07,2.1355417088209312e-08,4.690839951266261e-07,7.161232033261517e-07,-5.2091535471828005e-09,-4.7111336818205225e-08,-6.572930331526808e-07,-7.096135235180688e-07
22,4902409.0,2017-10-10 06:00:00,58.68814508604057,-53.28173821509278,3.3802379216729806e-07,3.3228277647454605e-08,5.699305518436459e-07,9.411826216583984e-07,-8.323756864781653e-09,-7.526720617711087e-08,-8.954999794610261e-07,-9.790909425029187e-07
23,4902409.0,2017-10-10 12:00:00,58.69088608761344,-53.2673172144886,1.614090537279435e-07,1.1972006330788754e-08,4.5537120168333906e-07,6.287522617420713e-07,-2.769467179634877e-09,-2.5038638297141147e-08,-5.492226072801285e-07,-5.770307127569046e-07
24,4902409.0,2017-10-10 18:00:00,58.69362708918632,-53.252896213884426,8.040051772685016e-08,4.8737997092020255e-09,3.5116269155532295e-07,4.3643700899137515e-07,-9.286956744873394e-10,-8.394907461672425e-09,-3.3556122558196957e-07,-3.4488482871812935e-07
25,4902409.0,2017-10-11 00:00:00,58.696368090759194,-53.238475213280246,3.135240430321409e-08,1.415620988387381e-09,2.4806980825661743e-07,2.808378335482189e-07,-1.4720254823065137e-10,-1.330410788955076e-09,-1.7208105074075889e-07,-1.735586640779446e-07
26,4902409.0,2017-10-11 06:00:00,58.699109092332066,-53.22405421267607,8.118120292804775e-08,5.552807638487028e-09,3.2927669846537545e-07,4.1601070903191023e-07,-1.0922393630099946e-09,-9.869976672661377e-09,-3.254527739012117e-07,-3.3641498993688305e-07
27,4902409.0,2017-10-11 12:00:00,58.701850093904945,-53.20963321207189,2.181423791826044e-07,2.1619928565450924e-08,4.4759801095617155e-07,6.873603187042268e-07,-5.2672657037868035e-09,-4.75895210474445e-08,-6.291406302882636e-07,-6.819974170394949e-07
28,4902409.0,2017-10-11 18:00:00,58.70459109547782,-53.19521221146771,4.3906403554548174e-07,5.5212790678886424e-08,5.556289509281628e-07,1.0499057771525311e-06,-1.377784577730614e-08,-1.2446153827361812e-07,-9.956971666103225e-07,-1.133936550661247e-06
29,4902409.0,2017-10-12 00:00:00,58.70733209705069,-53.18079121086354,4.656151945209254e-07,5.7293288127836444e-08,5.82836525010499e-07,1.1057450076592607e-06,-1.4321411265542964e-08,-1.293502677805681e-07,-1.0544966387368248e-06,-1.1981683177829358e-06
30,4902409.0,2017-10-12 06:00:00,58.71007309862357,-53.16637021025936,8.037513665666096e-07,1.1090308935469963e-07,7.20770076467474e-07,1.6354245323887831e-06,-2.393089789028858e-08,-2.1610664073480726e-07,-1.4439030165389635e-06,-1.6839405551640594e-06
