,WMO,Prof,Date,Lat,Lon,O2Inv,O2EqInv
0,4900345.0,1.0,2004-06-17 07:31:58.997666,51.777,-48.455,515.1916965591904,572.0075416343858
1,4900345.0,2.0,2004-06-22 06:20:07.002064,51.927,-48.621,470.0252151979549,568.2750772730097
2,4900345.0,3.0,2004-06-27 06:10:02.001279,51.922,-48.595,483.05747884085696,570.833862565656
4,4900345.0,5.0,2004-07-07 03:32:44.000407,51.742,-48.534,509.2615098125667,571.1617780843861
5,4900345.0,6.0,2004-07-12 02:22:33.999988,51.726,-48.597,434.6505613816952,571.1514972095127
7,4900345.0,8.0,2004-07-22 05:52:26.999642,52.022,-49.29,488.67484375045655,569.9659269647233
8,4900345.0,9.0,2004-07-27 04:19:04.000621,52.048,-49.102,519.9652352202046,572.601249546398
9,4900345.0,10.0,2004-08-01 03:38:56.999558,52.129,-49.493,504.43181762289134,571.4849722214045
10,4900345.0,11.0,2004-08-06 02:46:22.000776,52.01,-49.488,505.77838377342573,570.7166516655914
11,4900345.0,12.0,2004-08-11 05:02:27.999853,52.079,-49.199,515.1459911698347,570.7291335855626
12,4900345.0,13.0,2004-08-16 03:59:06.999832,51.575,-48.977,540.7207244488587,572.7972691277317
13,4900345.0,14.0,2004-08-21 05:34:26.000313,51.711,-49.041,528.5897339404873,572.8805631440637
14,4900345.0,15.0,2004-08-26 02:09:24.000172,51.722,-48.814,534.2869116879491,572.517613015303
15,4900345.0,16.0,2004-08-31 06:25:38.999455,51.621,-48.644,540.8928766719271,570.6757101021173
16,4900345.0,17.0,2004-09-05 03:40:18.000119,51.274,-48.557,525.9223384572856,571.22633340104
17,4900345.0,18.0,2004-09-10 07:00:25.998393,50.909,-48.423,504.3228097652905,568.5050748700388
18,4900345.0,19.0,2004-09-15 04:42:17.000510,50.724,-47.964,512.7931885692158,570.4843525945048
19,4900345.0,20.0,2004-09-20 04:01:36.000192,50.516,-47.989,521.6877982053054,569.7214197203967
20,4900345.0,21.0,2004-09-25 05:34:04.000195,50.347,-48.158,499.43038274050593,571.4184766917763
21,4900345.0,22.0,2004-09-30 02:15:17.000547,50.14,-48.178,513.023232278634,572.6444139415718
22,4900345.0,23.0,2004-10-05 04:28:34.000507,49.939,-48.382,490.94615039769144,570.762867557404
23,4900345.0,24.0,2004-10-10 03:45:36.000244,49.962,-48.51,523.1242937704307,572.5637868100554
24,4900345.0,25.0,2004-10-15 04:11:47.000540,49.873,-48.095,513.5146820986964,571.6395884821477
26,4900345.0,27.0,2004-10-25 02:31:42.000395,49.402,-47.69,540.3103784507863,571.2202345537394
27,4900345.0,28.0,2004-10-30 04:35:55.000726,49.003,-47.442,499.47549940278884,571.5262224531298
22,4900494.0,23.0,2005-01-10 12:42:00.000000,58.316001892089844,-48.025001525878906,516.6217852603606,570.2890565397744
23,4900494.0,24.0,2005-01-20 17:14:00.000000,57.518001556396484,-47.77000045776367,521.8247434358752,571.5273840969445
24,4900494.0,25.0,2005-01-30 13:27:00.000000,57.96900177001953,-49.14400100708008,531.9722552821414,571.806205442796
25,4900494.0,26.0,2005-02-09 16:17:59.999999,57.737998962402344,-48.4119987487793,526.7125524266087,574.4090282794442
26,4900494.0,27.0,2005-02-19 12:15:00.000000,57.10900115966797,-48.10900115966797,526.4454403593987,574.0687447791212
27,4900494.0,28.0,2005-03-01 16:21:00.000000,57.202999114990234,-48.624000549316406,526.3477921455191,573.9424731257278
28,4900494.0,29.0,2005-03-11 12:40:00.000000,57.0369987487793,-48.7869987487793,528.1561766351068,575.7011613345986
